name,slug,category,metros,doordash_slug,ubereats_slug
"TWO urban licks",twourbanlicks,restaurant,atlanta,,
"9 Mile Station",9milestation,restaurant,atlanta,,
"Sugar Factory American Brasserie",sugar-factory-american-brasserie,restaurant,atlanta,,
"Hungry AF Downtown",hungryafdowntown,restaurant,atlanta,,
"Marcel",marcel,restaurant,atlanta,,
"Ladybird Grove & Mess Hall",ladybirdgrovemesshall,restaurant,atlanta,,
"The Sun Dial Restaurant, Bar & View",thesundialrestaurantbarview,restaurant,atlanta,,
"Canoe",canoe,restaurant,atlanta,,
"South City Kitchen Midtown",southcitykitchenmidtown,restaurant,atlanta,,
"The Consulate Restaurant",theconsulaterestaurant,restaurant,atlanta,,
"5Church Midtown",5churchmidtown,restaurant,atlanta,,
"Crescent City Kitchen",crescentcitykitchen,restaurant,atlanta,,
"Wagyu House Atlanta",wagyuhouseatlanta,restaurant,atlanta,,
"Ecco Midtown",eccomidtown,restaurant,atlanta,,
"Yebo Beach Haus",yebobeachhaus,restaurant,atlanta,,
"Delbar - Inman Park",delbar-inmanpark,restaurant,atlanta,,
"Yeppa & Co. - Beltline",yeppaco-beltline,restaurant,atlanta,,
"Barcelona Wine Bar",barcelonawinebar,restaurant,atlanta,,
"Eclipse di Luna - Beltline",eclipsediluna-beltline,restaurant,atlanta,,
"Kitty Dare",kittydare,restaurant,atlanta,,
"BeetleCat",beetlecat,restaurant,atlanta,,
"a mano",amano,restaurant,atlanta,,
"BoccaLupo",boccalupo,restaurant,atlanta,,
"Sotto Sotto Restaurant",sottosottorestaurant,restaurant,atlanta,,
"The Iberian Pig",theiberianpig,restaurant,atlanta,,
"Kimball House",kimballhouse,restaurant,atlanta,,
"Louisiana Bistreaux Seafood Kitchen Decatur",louisianabistreauxseafoodkitchendecatur,seafood,atlanta,,
"The Deer and The Dove",thedeerandthedove,restaurant,atlanta,,
"The White Bull",thewhitebull,restaurant,atlanta,,
"no. 246",no246,restaurant,atlanta,,
"Ela",ela,restaurant,atlanta,,
"La Tavola Trattoria",latavolatrattoria,italian,atlanta,,
"Yeppa & Co. - Buckhead",yeppaco-buckhead,restaurant,atlanta,,
"Argosy",argosy,restaurant,atlanta,,
"Bread & Butterfly",breadbutterfly,bakery,atlanta,,
"Wisteria",wisteria,restaurant,atlanta,,
"Folk Art Restaurant Inman Park",folkartrestaurantinmanpark,restaurant,atlanta,,
"Wheelhouse Craft Pub and Kitchen",wheelhousecraftpubandkitchen,restaurant,atlanta,,
"DESI TADKA INDIAN RESTAURANT - DECATUR",desitadkaindianrestaurant-decatur,indian,atlanta,,
"Raging Burrito",ragingburrito,mexican,atlanta,,
"Truva - Virginia Highland",truva-virginiahighland,restaurant,atlanta,,
"5 ways to ramp up your restaurant online ordering system",5waystorampupyourrestaurantonlineorderin,restaurant,atlanta,,
"Why every restaurant needs an interactive menu",whyeveryrestaurantneedsaninteractivemenu,restaurant,atlanta,,
"4 tech-focused tips to fight rising restaurant costs",4tech-focusedtipstofightrisingrestaurant,restaurant,atlanta,,
"How to set up online food ordering in an afternoon",howtosetuponlinefoodorderinginanafternoo,restaurant,atlanta,,
"Sweenz Kitchen - Restaurant in GA",sweenzkitchen-restaurantinga,restaurant,atlanta,,
"Home - Cafe in the City",home-cafeinthecity,cafe,atlanta,,
"Accessibility Review - Restaurant in Atlanta, GA",accessibilityreview-restaurantinatlantag,restaurant,atlanta,,
"Petite Violette - French Restaurant in Atlanta, GA",petiteviolette-frenchrestaurantinatlanta,restaurant,atlanta,,
"Clover Production Test Company - Restaurant in Atlanta, GA",cloverproductiontestcompany-restaurantin,restaurant,atlanta,,
"Mr. Everything - Atlanta, GA 30314 (Menu & Order Online)",mreverything-atlantaga30314menuorderonli,restaurant,atlanta,,
"Olo - Restaurant Technology & Digital Ordering Platform",olo-restauranttechnologydigitalorderingp,restaurant,atlanta,,
"Private Dining Accolades Atlanta Magazine​: Best of Atlanta",privatediningaccoladesatlantamagazinebes,restaurant,atlanta,,
"Dat Fire Jerk",datfirejerk,caribbean,atlanta,,
"Memphis Best BBQ and Wings",memphisbestbbqandwings,bbq,atlanta,,
"5 ways to ramp up your restaurant online ordering system",5waystorampupyourrestaurantonlineorderin,restaurant,austin,,
"Why every restaurant needs an interactive menu",whyeveryrestaurantneedsaninteractivemenu,restaurant,austin,,
"4 tech-focused tips to fight rising restaurant costs",4tech-focusedtipstofightrisingrestaurant,restaurant,austin,,
"Bamboo Bistro - Austin, TX 78745 (Menu & Order Online)",bamboobistro-austintx78745menuorderonlin,restaurant,austin,,
"Home - C Spot",home-cspot,restaurant,austin,,
"Nagoya Steak & Sushi - Austin, TX 78750 (Menu & Order ...",nagoyasteaksushi-austintx78750menuorder,japanese,austin,,
"The Best Online Ordering System for Restaurants in 2024",thebestonlineorderingsystemforrestaurant,restaurant,austin,,
"Direct Online Ordering System Advantages for Restaurants",directonlineorderingsystemadvantagesforr,restaurant,austin,,
"Pre",pre,restaurant,austin,,
"Assistance and Resource Guide for Restaurants",assistanceandresourceguideforrestaurants,restaurant,austin,,
"Looking For Delivery Fulfillment For Your Restaurant?",lookingfordeliveryfulfillmentforyourrest,deli,austin,,
"In-N-Out Burger",innout,burgers,austin,,
"Hat Creek Burger",hatcreek,burgers,austin,,
"Thai Kitchen",thaikitchen,thai,austin,,
"Ramen Tatsu-Ya",ramentatsuya,japanese,austin,,
"Suerte",suerte,restaurant,austin,,
"Veracruz All Natural",veracruz,restaurant,austin,,
"Flyrite Chicken",flyrite,chicken,austin,,
"Franklin Barbecue",franklin,bbq,austin,,
"Terry Blacks BBQ",terryblacks,bbq,austin,,
"Pinthouse Pizza",pinthouse,pizza,austin,,
"Favor",favor,restaurant,austin,,
"Halal Bros",halalbros,restaurant,austin,,
"Tso Chinese Delivery",tso,chinese,austin,,
"Wasota African Cuisine",wasota,african,austin,,
"El Pollo Regio",elpolloregio,restaurant,austin,,
"Pueblo Viejo",puebloviejo,restaurant,austin,,
"Pho Saigon",phosaigon,vietnamese,austin,,
"Sap\\",sapsfinethai,restaurant,austin,,
"Bouldin Creek Cafe",bouldincreek,cafe,austin,,
"Counter Cafe",countercafe,cafe,austin,,
"Grizzeldas",grizzeldas,restaurant,austin,,
"Kerlin BBQ",kerlinbbq,bbq,austin,,
"Interstellar BBQ",interstellarbbq,bbq,austin,,
