name,slug,category,metros,doordash_slug,ubereats_slug,email,phone,website,email_source
"TWO urban licks",twourbanlicks,restaurant,atlanta,,,info@twourbanlicks.com,(404) 522-4622,https://www.twourbanlicks.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,domain_guess
"9 Mile Station",9milestation,restaurant,atlanta,,,user@domain.com,(770) 999-1532,http://www.9milestation.com/,website_scrape
"Sugar Factory American Brasserie",sugar-factory-american-brasserie,restaurant,atlanta,,,info@sf3.sugarfactory.com,(470) 428-4395,https://sf3.sugarfactory.com/atlanta-ga,domain_guess
"Hungry AF Downtown",hungryafdowntown,restaurant,atlanta,,,info@thehungryaf.com,(404) 748-1912,https://thehungryaf.com/,domain_guess
"Marcel",marcel,restaurant,atlanta,,,eventsmarcel@rocketfarmrestaurants.com,(404) 665-4555,http://www.marcelatl.com/,website_scrape
"Ladybird Grove & Mess Hall",ladybirdgrovemesshall,restaurant,atlanta,,,user@domain.com,(404) 458-6838,http://www.ladybirdatl.com/,website_scrape
"The Sun Dial Restaurant, Bar & View",thesundialrestaurantbarview,restaurant,atlanta,,,user@domain.com,(404) 589-7506,https://www.sundialrestaurant.com/,website_scrape
"Canoe",canoe,restaurant,atlanta,,,specialevents@canoeatl.com,(770) 432-2663,http://www.canoeatl.com/,website_scrape
"South City Kitchen Midtown",southcitykitchenmidtown,restaurant,atlanta,,,info@southcitykitchen.com,(404) 873-7358,https://www.southcitykitchen.com/,domain_guess
"The Consulate Restaurant",theconsulaterestaurant,restaurant,atlanta,,,user@domain.com,(404) 254-5760,http://www.theconsulateatlanta.com/,website_scrape
"5Church Midtown",5churchmidtown,restaurant,atlanta,,,sales@k5hospitality.com,(404) 400-3669,http://midtown.5church-atlanta.com/,website_scrape
"Crescent City Kitchen",crescentcitykitchen,restaurant,atlanta,,,crescentcityatl@gmail.com,(404) 549-9585,https://www.crescentcityga.com/,website_scrape
"Wagyu House Atlanta",wagyuhouseatlanta,restaurant,atlanta,,,eventsatlanta@wagyuhouse.group,(470) 298-9858,https://wagyuhouse.group/project/wagyu-house-atlanta/,website_scrape
"Ecco Midtown",eccomidtown,restaurant,atlanta,,,info@ecco-atlanta.com,(404) 347-9555,https://www.ecco-atlanta.com/,domain_guess
"Yebo Beach Haus",yebobeachhaus,restaurant,atlanta,,,danielle@truestorybrands.com,(404) 228-8024,https://yebobeachhaus.com/,website_scrape
"Delbar - Inman Park",delbar-inmanpark,restaurant,atlanta,,,InmanPark@DelbarATL.com,(404) 500-1444,https://www.delbaratl.com/,website_scrape
"Yeppa & Co. - Beltline",yeppaco-beltline,restaurant,atlanta,,,info@yeppaco.com,(470) 664-6822,http://yeppaco.com/,domain_guess
"Barcelona Wine Bar",barcelonawinebar,restaurant,atlanta,,,info@barcelonawinebar.com,(404) 589-1010,https://www.barcelonawinebar.com/location/inmanpark/?utm_source=yext&utm_medium=localsearch&utm_campaign=landing-page&utm_content=inman-park,domain_guess
"Eclipse di Luna - Beltline",eclipsediluna-beltline,restaurant,atlanta,,,dunwoody@eclipsediluna.com,(463) 252-3572,https://eclipsediluna.com/,website_scrape
"Kitty Dare",kittydare,restaurant,atlanta,,,user@domain.com,(404) 228-1566,http://kittydare.com/,website_scrape
"BeetleCat",beetlecat,restaurant,atlanta,,,PR@rocketfarmrestaurants.com,(678) 732-0360,http://www.beetlecatatl.com/,website_scrape
"a mano",amano,restaurant,atlanta,,,info@amanoatl.com,(404) 549-7727,https://www.amanoatl.com/,website_scrape
"BoccaLupo",boccalupo,restaurant,atlanta,,,info@boccalupoatl.com,(404) 577-2332,http://boccalupoatl.com/,website_scrape
"Sotto Sotto Restaurant",sottosottorestaurant,restaurant,atlanta,,,info@sottosottoatl.com,(404) 523-6678,http://www.sottosottoatl.com/,domain_guess
"The Iberian Pig",theiberianpig,restaurant,atlanta,,,user@domain.com,(404) 994-4990,https://www.iberianpig.com/,website_scrape
"Kimball House",kimballhouse,restaurant,atlanta,,,info@kimball-house.com,(404) 378-3502,http://www.kimball-house.com/,website_scrape
"Louisiana Bistreaux Seafood Kitchen Decatur",louisianabistreauxseafoodkitchendecatur,seafood,atlanta,,,info@louisianabistreaux.com,(404) 963-1463,https://www.louisianabistreaux.com/decatur,domain_guess
"The Deer and The Dove",thedeerandthedove,restaurant,atlanta,,,user@domain.com,(404) 748-4617,http://www.deerdove.com/,website_scrape
"The White Bull",thewhitebull,restaurant,atlanta,,,user@domain.com,(404) 600-5649,https://whitebullatl.com/,website_scrape
"no. 246",no246,restaurant,atlanta,,,no246@rocketfarmrestaurants.com,(678) 399-8246,http://www.no246.com/,website_scrape
"Ela",ela,restaurant,atlanta,,,sfierman@fifthgroup.com,(404) 873-4656,https://www.ela-atlanta.com/,website_scrape
"La Tavola Trattoria",latavolatrattoria,italian,atlanta,,,sfierman@fifthgroup.com,(404) 873-5430,https://www.latavolatrattoria.com/,website_scrape
"Yeppa & Co. - Buckhead",yeppaco-buckhead,restaurant,atlanta,,,info@yeppaco.com,(706) 694-7111,http://yeppaco.com/,domain_guess
"Argosy",argosy,restaurant,atlanta,,,user@domain.com,(404) 577-0407,http://argosy-east.com/,website_scrape
"Bread & Butterfly",breadbutterfly,bakery,atlanta,,,info@bread-and-butterfly.com,(678) 515-4536,http://www.bread-and-butterfly.com/,website_scrape
"Wisteria",wisteria,restaurant,atlanta,,,christian@wisteria-atlanta.com,(404) 525-3363,http://www.wisteria-atlanta.com/,website_scrape
"Folk Art Restaurant Inman Park",folkartrestaurantinmanpark,restaurant,atlanta,,,info@folkartrestaurant.com,(404) 537-4492,https://folkartrestaurant.com/folkartrestaurant-inmanpark?utm_source=google,domain_guess
"Wheelhouse Craft Pub and Kitchen",wheelhousecraftpubandkitchen,restaurant,atlanta,,,kathryn@wheelhousepubdecatur.com,(470) 240-4945,https://www.wheelhousepubdecatur.com/,website_scrape
"DESI TADKA INDIAN RESTAURANT - DECATUR",desitadkaindianrestaurant-decatur,indian,atlanta,,,info@thedesitadka.com,(404) 254-0978,https://thedesitadka.com/?utm_source=google,domain_guess
"Raging Burrito",ragingburrito,mexican,atlanta,,,info@ragingburrito.com,(404) 377-3311,https://ragingburrito.com/?utm_source=google,domain_guess
"Truva - Virginia Highland",truva-virginiahighland,restaurant,atlanta,,,info@truvahighland.com,(404) 228-1007,https://www.truvahighland.com/,website_scrape
"5 ways to ramp up your restaurant online ordering system",5waystorampupyourrestaurantonlineorderin,restaurant,atlanta,,,,,,
"Why every restaurant needs an interactive menu",whyeveryrestaurantneedsaninteractivemenu,restaurant,atlanta,,,info@thehungryaf.com,(404) 748-1912,https://thehungryaf.com/,domain_guess
"4 tech-focused tips to fight rising restaurant costs",4tech-focusedtipstofightrisingrestaurant,restaurant,atlanta,,,info@57threstaurant.com,(770) 234-0057,http://www.57threstaurant.com/,domain_guess
"How to set up online food ordering in an afternoon",howtosetuponlinefoodorderinginanafternoo,restaurant,atlanta,,,info@thehungryaf.com,(404) 748-1912,https://thehungryaf.com/,domain_guess
"Sweenz Kitchen - Restaurant in GA",sweenzkitchen-restaurantinga,restaurant,atlanta,,,,,,
"Home - Cafe in the City",home-cafeinthecity,cafe,atlanta,,,homegrownga@yahoo.com,(404) 222-0455,https://www.homegrownga.com/,website_scrape
"Accessibility Review - Restaurant in Atlanta, GA",accessibilityreview-restaurantinatlantag,restaurant,atlanta,,,user@domain.com,(404) 254-5760,http://www.theconsulateatlanta.com/,website_scrape
